CCS,Molecular_Weight,LogP,H_Donors,H_Acceptors,Rotatable_Bonds,SMILES,TPSA
190.2,392.4060000000002,2.0815999999999995,3.0,6.0,3.0,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,100.59
214.5,392.4060000000002,2.0815999999999995,3.0,6.0,3.0,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,100.59
216.1,392.4060000000002,2.0815999999999995,3.0,6.0,3.0,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,100.59
217.4,392.4060000000002,2.0815999999999995,3.0,6.0,3.0,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,100.59
134.6,173.171,1.933,1.0,2.0,1.0,O=C(O)c1ccnc2ccccc12,50.19
133.5,173.171,1.933,1.0,2.0,1.0,O=C(O)c1ccnc2ccccc12,50.19
136.6,189.17000000000002,1.2263000000000002,2.0,2.0,1.0,O=C(O)c1cc(=O)c2ccccc2[nH]1,70.16
151.2,189.17000000000002,1.2263000000000002,2.0,2.0,1.0,O=C(O)c1cc(=O)c2ccccc2[nH]1,70.16
135.3,189.17000000000002,1.2263000000000002,2.0,2.0,1.0,O=C(O)c1cc(=O)c2ccccc2[nH]1,70.16
134.6,205.16899999999998,1.3441999999999998,3.0,4.0,1.0,O=C(O)c1cc(O)c2cccc(O)c2n1,90.65
140.4,205.16899999999998,1.3441999999999998,3.0,4.0,1.0,O=C(O)c1cc(O)c2cccc(O)c2n1,90.65
148.0,205.16899999999998,1.3441999999999998,3.0,4.0,1.0,O=C(O)c1cc(O)c2cccc(O)c2n1,90.65
132.3,173.171,1.933,1.0,2.0,1.0,O=C(O)c1ccc2ccccc2n1,50.19
229.7,461.64000000000016,1.7484000000000006,6.0,8.0,18.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,145.63000000000002
224.5,461.64000000000016,1.7484000000000006,6.0,8.0,18.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,145.63000000000002
226.8,461.64000000000016,1.7484000000000006,6.0,8.0,18.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,145.63000000000002
218.7,461.64000000000016,1.7484000000000006,6.0,8.0,18.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,145.63000000000002
221.0,461.64000000000016,1.7484000000000006,6.0,8.0,18.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,145.63000000000002
226.2,461.64000000000016,1.7484000000000006,6.0,8.0,18.0,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,145.63000000000002
173.1,288.431,3.879200000000003,1.0,2.0,0.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@H]2O,37.3
198.3,288.431,3.879200000000003,1.0,2.0,0.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@H]2O,37.3
173.3,288.431,3.879200000000003,1.0,2.0,0.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,37.3
198.7,288.431,3.879200000000003,1.0,2.0,0.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,37.3
182.8,286.415,4.087400000000003,0.0,2.0,0.0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,34.14
203.4,286.415,4.087400000000003,0.0,2.0,0.0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,34.14
218.2,513.6970000000003,5.290700000000004,3.0,5.0,8.0,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,133.48999999999998
200.6,449.63200000000035,4.434400000000004,4.0,4.0,6.0,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,110.35000000000001
196.9,449.63200000000035,4.434400000000004,4.0,4.0,6.0,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,110.35000000000001
203.8,449.63200000000035,4.434400000000004,4.0,4.0,6.0,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,110.35000000000001
